mobility_type,x_time,y_ridership_change,phase,state,x_date
retail_and_recreation_percent_change_from_baseline,44972,0,D,Alabama,15-Feb
retail_and_recreation_percent_change_from_baseline,44973,0,D,Alabama,16-Feb
retail_and_recreation_percent_change_from_baseline,44974,0,D,Alabama,17-Feb
retail_and_recreation_percent_change_from_baseline,44975,0,D,Alabama,18-Feb
retail_and_recreation_percent_change_from_baseline,44976,0,D,Alabama,19-Feb
retail_and_recreation_percent_change_from_baseline,44977,0,D,Alabama,20-Feb
retail_and_recreation_percent_change_from_baseline,44978,1.392135642,D,Alabama,21-Feb
retail_and_recreation_percent_change_from_baseline,44979,1.512914863,D,Alabama,22-Feb
retail_and_recreation_percent_change_from_baseline,44980,2.203391053,D,Alabama,23-Feb
retail_and_recreation_percent_change_from_baseline,44981,1.593001443,D,Alabama,24-Feb
retail_and_recreation_percent_change_from_baseline,44982,3.027344877,D,Alabama,25-Feb
retail_and_recreation_percent_change_from_baseline,44983,4.455916306,D,Alabama,26-Feb
retail_and_recreation_percent_change_from_baseline,44984,6.896392496,D,Alabama,27-Feb
retail_and_recreation_percent_change_from_baseline,44985,8.117171717,D,Alabama,28-Feb
retail_and_recreation_percent_change_from_baseline,47150,9.417171717,D,Alabama,29-Feb
retail_and_recreation_percent_change_from_baseline,44986,10.97431457,D,Alabama,1-Mar
retail_and_recreation_percent_change_from_baseline,44987,12.22106782,D,Alabama,2-Mar
retail_and_recreation_percent_change_from_baseline,44988,13.6536075,D,Alabama,3-Mar
retail_and_recreation_percent_change_from_baseline,44989,12.39963925,D,Alabama,4-Mar
retail_and_recreation_percent_change_from_baseline,44990,11.82821068,D,Alabama,5-Mar
retail_and_recreation_percent_change_from_baseline,44991,11.46457431,D,Alabama,6-Mar
retail_and_recreation_percent_change_from_baseline,44992,11.10743146,D,Alabama,7-Mar
retail_and_recreation_percent_change_from_baseline,44993,10.60584416,D,Alabama,8-Mar
retail_and_recreation_percent_change_from_baseline,44994,10.92792208,D,Alabama,9-Mar
retail_and_recreation_percent_change_from_baseline,44995,9.781096681,D,Alabama,10-Mar
retail_and_recreation_percent_change_from_baseline,44996,10.32077922,D,Alabama,11-Mar
retail_and_recreation_percent_change_from_baseline,44997,10.73506494,D,Alabama,12-Mar
retail_and_recreation_percent_change_from_baseline,44998,10.33246753,D,Alabama,13-Mar
retail_and_recreation_percent_change_from_baseline,44999,8.537229437,D,Alabama,14-Mar
