Time,State,Mobility_Type,Q_Observed,Q_V_Shape,Q_Exp,Q_DQQ
0,Alabama,transit_stations_percent_change_from_baseline,1.863924964,0,-0.296410197,0
1,Alabama,transit_stations_percent_change_from_baseline,-1.226984127,-1.239149886,-2.937565302,-0.143810218
2,Alabama,transit_stations_percent_change_from_baseline,-4.932611833,-2.478299772,-5.401646961,-0.55880542
3,Alabama,transit_stations_percent_change_from_baseline,-8.584559885,-3.717449658,-7.700526877,-1.220332424
4,Alabama,transit_stations_percent_change_from_baseline,-11.51183261,-4.956599544,-9.845280825,-2.103738052
5,Alabama,transit_stations_percent_change_from_baseline,-14.03564214,-6.19574943,-11.84624202,-3.184369121
6,Alabama,transit_stations_percent_change_from_baseline,-15.68445166,-7.434899316,-13.71305089,-4.437572452
7,Alabama,transit_stations_percent_change_from_baseline,-17.24159452,-8.674049202,-15.45470154,-5.838694866
8,Alabama,transit_stations_percent_change_from_baseline,-18.40393218,-9.913199088,-17.07958506,-7.36308318
9,Alabama,transit_stations_percent_change_from_baseline,-19.63639971,-11.15234897,-18.59553,-8.986084216
10,Alabama,transit_stations_percent_change_from_baseline,-20.63957431,-12.39149886,-20.00984001,-10.68304479
11,Alabama,transit_stations_percent_change_from_baseline,-21.15515873,-13.63064875,-21.3293291,-12.42931173
12,Alabama,transit_stations_percent_change_from_baseline,-21.85674603,-14.86979863,-22.56035445,-14.20023185
13,Alabama,transit_stations_percent_change_from_baseline,-22.41428571,-16.10894852,-23.70884701,-15.97115197
14,Alabama,transit_stations_percent_change_from_baseline,-23.1,-17.3480984,-24.7803401,-17.7174189
15,Alabama,transit_stations_percent_change_from_baseline,-23.54805195,-18.58724829,-25.77999607,-19.41437948
16,Alabama,transit_stations_percent_change_from_baseline,-24.77662338,-19.82639818,-26.71263117,-21.03738052
17,Alabama,transit_stations_percent_change_from_baseline,-26.23059163,-21.06554806,-27.58273873,-22.56176883
18,Alabama,transit_stations_percent_change_from_baseline,-26.58773449,-22.30469795,-28.39451086,-23.96289124
19,Alabama,transit_stations_percent_change_from_baseline,-27.37344877,-23.54384784,-29.15185858,-25.21609457
20,Alabama,transit_stations_percent_change_from_baseline,-28.8972583,-24.78299772,-29.85843073,-26.29672564
21,Alabama,transit_stations_percent_change_from_baseline,-29.72582973,-26.02214761,-30.5176315,-27.18013127
22,Alabama,transit_stations_percent_change_from_baseline,-30.90764791,-27.26129749,-31.13263685,-27.84165828
23,Alabama,transit_stations_percent_change_from_baseline,-30.99336219,-28.50044738,-31.70640982,-28.25665348
24,Alabama,transit_stations_percent_change_from_baseline,-32.16479076,-29.73959727,-32.24171479,-28.4004637
25,Alabama,transit_stations_percent_change_from_baseline,-31.88946609,-29.26369733,-31.34502127,-28.38053425
26,Alabama,transit_stations_percent_change_from_baseline,-31.1005772,-28.78779739,-30.46778911,-28.32153518
27,Alabama,transit_stations_percent_change_from_baseline,-30.01922799,-28.31189745,-29.60959593,-28.22465043
28,Alabama,transit_stations_percent_change_from_baseline,-29.31446609,-27.83599751,-28.77002851,-28.09106393
29,Alabama,transit_stations_percent_change_from_baseline,-28.37031025,-27.36009757,-27.94868261,-27.92195959
30,Alabama,transit_stations_percent_change_from_baseline,-27.03856421,-26.88419763,-27.14516276,-27.71852135
31,Alabama,transit_stations_percent_change_from_baseline,-26.46713564,-26.40829769,-26.35908208,-27.48193314
32,Alabama,transit_stations_percent_change_from_baseline,-26.1265873,-25.93239775,-25.59006207,-27.21337888
33,Alabama,transit_stations_percent_change_from_baseline,-25.58690476,-25.45649781,-24.83773246,-26.91404249
34,Alabama,transit_stations_percent_change_from_baseline,-25.4797619,-24.98059787,-24.10173101,-26.58510792
35,Alabama,transit_stations_percent_change_from_baseline,-26.33690476,-24.50469793,-23.38170334,-26.22775908
36,Alabama,transit_stations_percent_change_from_baseline,-25.7797619,-24.02879799,-22.67730277,-25.84317991
37,Alabama,transit_stations_percent_change_from_baseline,-25.50992063,-23.55289805,-21.98819012,-25.43255432
38,Alabama,transit_stations_percent_change_from_baseline,-23.24563492,-23.07699811,-21.31403361,-24.99706626
39,Alabama,transit_stations_percent_change_from_baseline,-22.88055556,-22.60109817,-20.65450863,-24.53789964
40,Alabama,transit_stations_percent_change_from_baseline,-22.54722222,-22.12519823,-20.00929763,-24.0562384
41,Alabama,transit_stations_percent_change_from_baseline,-22.71507937,-21.64929829,-19.37808994,-23.55326646
42,Alabama,transit_stations_percent_change_from_baseline,-20.4484127,-21.17339835,-18.76058165,-23.03016774
43,Alabama,transit_stations_percent_change_from_baseline,-19.56587302,-20.69749841,-18.15647542,-22.48812619
44,Alabama,transit_stations_percent_change_from_baseline,-17.84960317,-20.22159847,-17.56548039,-21.92832572
45,Alabama,transit_stations_percent_change_from_baseline,-15.74246032,-19.74569853,-16.987312,-21.35195026
46,Alabama,transit_stations_percent_change_from_baseline,-15.00912698,-19.26979859,-16.42169187,-20.76018374
47,Alabama,transit_stations_percent_change_from_baseline,-14.25674603,-18.79389865,-15.86834765,-20.15421009
48,Alabama,transit_stations_percent_change_from_baseline,-12.78531746,-18.31799871,-15.32701292,-19.53521323
49,Alabama,transit_stations_percent_change_from_baseline,-12.74246032,-17.84209877,-14.79742703,-18.9043771
50,Alabama,transit_stations_percent_change_from_baseline,-12.61980519,-17.36619883,-14.27933499,-18.26288562
51,Alabama,transit_stations_percent_change_from_baseline,-11.80909091,-16.89029889,-13.77248734,-17.61192272
52,Alabama,transit_stations_percent_change_from_baseline,-10.79123377,-16.41439895,-13.27664004,-16.95267232
53,Alabama,transit_stations_percent_change_from_baseline,-10.01663059,-15.93849901,-12.79155434,-16.28631836
54,Alabama,transit_stations_percent_change_from_baseline,-9.138059163,-15.46259907,-12.31699669,-15.61404476
55,Alabama,transit_stations_percent_change_from_baseline,-8.709487734,-14.98669913,-11.85273857,-14.93703545
56,Alabama,transit_stations_percent_change_from_baseline,-8.49520202,-14.51079919,-11.39855647,-14.25647436
57,Alabama,transit_stations_percent_change_from_baseline,-7.93531746,-14.03489925,-10.95423169,-13.57354541
58,Alabama,transit_stations_percent_change_from_baseline,-8.263888889,-13.55899931,-10.5195503,-12.88943253
59,Alabama,transit_stations_percent_change_from_baseline,-8.948412698,-13.08309937,-10.09430301,-12.20531965
60,Alabama,transit_stations_percent_change_from_baseline,-9.525613276,-12.60719943,-9.678285047,-11.5223907
61,Alabama,transit_stations_percent_change_from_baseline,-9.632756133,-12.13129949,-9.271296119,-10.84182961
62,Alabama,transit_stations_percent_change_from_baseline,-9.530715316,-11.65539955,-8.87314026,-10.1648203
63,Alabama,transit_stations_percent_change_from_baseline,-8.616429602,-11.17949961,-8.483625763,-9.492546695
64,Alabama,transit_stations_percent_change_from_baseline,-7.681508967,-10.70359967,-8.10256508,-8.826192733
65,Alabama,transit_stations_percent_change_from_baseline,-6.832302618,-10.22769973,-7.729774734,-8.166942337
66,Alabama,transit_stations_percent_change_from_baseline,-6.362064523,-9.751799795,-7.365075229,-7.515979435
67,Alabama,transit_stations_percent_change_from_baseline,-7.620181406,-9.275899855,-7.008290968,-6.874487954
68,Alabama,transit_stations_percent_change_from_baseline,-8.191609977,-8.799999916,-6.65925016,-6.243651823
69,Alabama,transit_stations_percent_change_from_baseline,-8.404761905,-8.324099976,-6.317784748,-5.624654968
70,Alabama,transit_stations_percent_change_from_baseline,-7.910884354,-7.848200036,-5.983730317,-5.018681317
71,Alabama,transit_stations_percent_change_from_baseline,-7.996598639,-7.372300096,-5.656926025,-4.426914799
72,Alabama,transit_stations_percent_change_from_baseline,-7.536281179,-6.896400156,-5.337214518,-3.85053934
73,Alabama,transit_stations_percent_change_from_baseline,-6.571995465,-6.420500217,-5.024441859,-3.290738869
74,Alabama,transit_stations_percent_change_from_baseline,-3.939852608,-5.944600277,-4.71845745,-2.748697314
75,Alabama,transit_stations_percent_change_from_baseline,-3.348015873,-5.468700337,-4.419113962,-2.225598601
76,Alabama,transit_stations_percent_change_from_baseline,-2.72670068,-4.992800397,-4.126267265,-1.722626658
77,Alabama,transit_stations_percent_change_from_baseline,-2.759863946,-4.516900458,-3.839776356,-1.240965414
78,Alabama,transit_stations_percent_change_from_baseline,-2.859863946,-4.041000518,-3.559503291,-0.781798796
79,Alabama,transit_stations_percent_change_from_baseline,-3.288435374,-3.565100578,-3.285313124,-0.346310731
80,Alabama,transit_stations_percent_change_from_baseline,-4.92930839,-3.089200638,-3.017073832,0.064314852
81,Alabama,transit_stations_percent_change_from_baseline,-6.173464234,-2.613300698,-2.754656263,0.448894026
82,Alabama,transit_stations_percent_change_from_baseline,-6.651015255,-2.137400759,-2.497934064,0.806242864
83,Alabama,transit_stations_percent_change_from_baseline,-6.793872397,-1.661500819,-2.246783626,1.135177438
84,Alabama,transit_stations_percent_change_from_baseline,-6.526015255,-1.185600879,-2.001084022,1.434513819
85,Alabama,transit_stations_percent_change_from_baseline,-5.872443826,-0.709700939,-1.760716951,1.703068081
86,Alabama,transit_stations_percent_change_from_baseline,-4.269269223,-0.233801,-1.525566678,1.939656296
